price,distance,airport,top30
55.4,334,Chicago O'Hare,Y
48.62,393,Kansas City,N
33.62,680,Denver,Y
109.4,936,BWI,Y
146.4,980,Philadelphia,Y
38.41,1276,Pheonix,Y
43.4,1535,LAX,Y
48.62,1399,SEA,Y
88.4,1028,JFK,Y
48.62,907,Atlanta,Y
103.46,852,DFW,Y
141.8,930,"Charolette, NC",Y
43.4,1310,Orlando,Y
109.4,1107,DCA,Y
88.39,1190,Newark,Y
131.72,593,indianapolis,
120.7,730,"columbus, oh",
157.2,331,"lincoln, ne",
110.7,297,milwaukee,
58.4,448,st loius,
109.4,673,detroit,Y
110.8,662,cleveland,
152.7,1092,"savannah, ga",
119.2,980,"Raleigh, NC",
135.2,981,abq,
143.79,1233,slc,Y
97.19,1736,portland,Y
103.8,1301,boston,Y
140.2,,hartford,
110.4,1167,houston,Y
82.41,1973,san fran,Y
88.4,695,nashville,
126.1,1087,charleston,
53.4,1790,miami,Y
109.4,1142,boise,
48.62,1299,las vegas,Y
48.4,1772,fll,Y
88.4,1207,lga,Y
79.59,1987,san,Y
109.4,1098,iad,Y
168.8,413,mdw,Y
71.4,1589,tpa,Y
211.95,3972,hnl,Y
